xi;vi1;vi2
0.777;0.594526;0.645997
0.778;0.595172;0.645912
0.779;0.595818;0.645827
0.78;0.596464;0.645742
0.781;0.59711;0.645659
0.782;0.597755;0.645575
0.783;0.598401;0.645493
0.784;0.599046;0.645411
0.785;0.599692;0.64533
0.786;0.600337;0.645249
0.787;0.600982;0.645169
0.788;0.601627;0.64509
0.789;0.602272;0.645011
0.79;0.602917;0.644933
0.791;0.603562;0.644855
0.792;0.604207;0.644778
0.793;0.604852;0.644702
0.794;0.605496;0.644626
0.795;0.606141;0.644551
0.796;0.606785;0.644476
0.797;0.60743;0.644403
0.798;0.608074;0.644329
0.799;0.608719;0.644256
0.8;0.609363;0.644184
0.801;0.610007;0.644113
0.802;0.610651;0.644042
0.803;0.611295;0.643971
0.804;0.611939;0.643902
0.805;0.612583;0.643833
0.806;0.613227;0.643764
0.807;0.61387;0.643696
0.808;0.614514;0.643629
0.809;0.615158;0.643562
0.81;0.615801;0.643496
0.811;0.616445;0.64343
0.812;0.617088;0.643365
0.813;0.617731;0.643301
0.814;0.618375;0.643237
0.815;0.619018;0.643174
0.816;0.619661;0.643111
0.817;0.620304;0.643049
0.818;0.620947;0.642988
0.819;0.62159;0.642927
0.82;0.622233;0.642866
0.821;0.622876;0.642807
0.822;0.623519;0.642747
0.823;0.624161;0.642689
0.824;0.624804;0.642631
0.825;0.625446;0.642574
0.826;0.626089;0.642517
0.827;0.626732;0.64246
0.828;0.627374;0.642405
0.829;0.628016;0.64235
0.83;0.628659;0.642295
0.831;0.629301;0.642241
0.832;0.629943;0.642188
0.833;0.630585;0.642135
0.834;0.631227;0.642083
0.835;0.631869;0.642031
0.836;0.632511;0.64198
0.837;0.633153;0.64193
0.838;0.633795;0.64188
0.839;0.634437;0.64183
0.84;0.635079;0.641781
0.841;0.635721;0.641733
0.842;0.636362;0.641685
0.843;0.637004;0.641638
0.844;0.637646;0.641592
0.845;0.638287;0.641546
0.846;0.638929;0.6415
0.847;0.63957;0.641455
0.848;0.640212;0.641411
0.849;0.640853;0.641367
0.85;0.641494;0.641324
0.851;0.642136;0.641281
0.852;0.642777;0.641239
0.853;0.643418;0.641198
0.854;0.644059;0.641157
0.855;0.644701;0.641116
0.856;0.645342;0.641076
0.857;0.645983;0.641037
0.858;0.646624;0.640998
0.859;0.647265;0.64096
0.86;0.647906;0.640922
0.861;0.648547;0.640885
0.862;0.649187;0.640849
0.863;0.649828;0.640813
0.864;0.650469;0.640777
0.865;0.65111;0.640742
0.866;0.651751;0.640708
0.867;0.652391;0.640674
0.868;0.653032;0.640641
0.869;0.653673;0.640608
0.87;0.654313;0.640576
0.871;0.654954;0.640544
0.872;0.655594;0.640513
0.873;0.656235;0.640482
0.874;0.656875;0.640452
0.875;0.657516;0.640423
0.876;0.658156;0.640394
0.877;0.658796;0.640365
0.878;0.659437;0.640337
0.879;0.660077;0.64031
0.88;0.660717;0.640283
0.881;0.661358;0.640257
0.882;0.661998;0.640231
0.883;0.662638;0.640206
0.884;0.663278;0.640181
0.885;0.663918;0.640157
0.886;0.664559;0.640133
0.887;0.665199;0.64011
0.888;0.665839;0.640087
0.889;0.666479;0.640065
0.89;0.667119;0.640043
0.891;0.667759;0.640022
0.892;0.668399;0.640002
0.893;0.669039;0.639982
0.894;0.669679;0.639962
0.895;0.670319;0.639943
0.896;0.670959;0.639925
0.897;0.671599;0.639907
0.898;0.672239;0.63989
0.899;0.672879;0.639873
0.9;0.673518;0.639856
0.901;0.674158;0.63984
0.902;0.674798;0.639825
0.903;0.675438;0.63981
0.904;0.676078;0.639796
0.905;0.676717;0.639782
0.906;0.677357;0.639769
0.907;0.677997;0.639756
0.908;0.678637;0.639744
0.909;0.679277;0.639732
0.91;0.679916;0.639721
0.911;0.680556;0.63971
0.912;0.681196;0.6397
0.913;0.681835;0.63969
0.914;0.682475;0.639681
0.915;0.683115;0.639672
0.916;0.683754;0.639664
0.917;0.684394;0.639656
0.918;0.685034;0.639649
0.919;0.685673;0.639642
0.92;0.686313;0.639636
0.921;0.686953;0.639631
0.922;0.687592;0.639625
0.923;0.688232;0.639621
0.924;0.688871;0.639616
0.925;0.689511;0.639613
0.926;0.690151;0.63961
0.927;0.69079;0.639607
0.928;0.69143;0.639605
0.929;0.69207;0.639603
0.93;0.692709;0.639602
0.931;0.693349;0.639601
0.932;0.693988;0.639601
0.933;0.694628;0.639601
0.934;0.695268;0.639602
0.935;0.695907;0.639603
0.936;0.696547;0.639605
0.937;0.697186;0.639607
0.938;0.697826;0.63961
0.939;0.698466;0.639613
0.94;0.699105;0.639616
0.941;0.699745;0.639621
0.942;0.700384;0.639625
0.943;0.701024;0.63963
0.944;0.701664;0.639636
0.945;0.702303;0.639642
0.946;0.702943;0.639649
0.947;0.703583;0.639656
0.948;0.704222;0.639663
0.949;0.704862;0.639671
0.95;0.705502;0.63968
0.951;0.706141;0.639689
0.952;0.706781;0.639698
0.953;0.707421;0.639708
0.954;0.70806;0.639719
0.955;0.7087;0.639729
0.956;0.70934;0.639741
0.957;0.70998;0.639753
0.958;0.710619;0.639765
0.959;0.711259;0.639778
0.96;0.711899;0.639791
0.961;0.712539;0.639805
0.962;0.713179;0.639819
0.963;0.713818;0.639833
0.964;0.714458;0.639849
0.965;0.715098;0.639864
0.966;0.715738;0.63988
0.967;0.716378;0.639897
0.968;0.717018;0.639914
0.969;0.717658;0.639931
0.97;0.718298;0.639949
0.971;0.718938;0.639968
0.972;0.719578;0.639986
0.973;0.720218;0.640006
0.974;0.720858;0.640025
0.975;0.721498;0.640046
0.976;0.722138;0.640066
0.977;0.722778;0.640088
0.978;0.723418;0.640109
0.979;0.724058;0.640131
0.98;0.724698;0.640154
0.981;0.725338;0.640177
0.982;0.725978;0.6402
0.983;0.726619;0.640224
0.984;0.727259;0.640248
0.985;0.727899;0.640273
0.986;0.728539;0.640298
0.987;0.72918;0.640324
0.988;0.72982;0.64035
